urbanisation_level,par
rural,Padang Besar
rural,Arau
rural,Padang Terap
rural,Baling
rural,Ketereh
rural,Tanah Merah
rural,Machang
rural,Jeli
rural,Gua Musang
rural,Besut
rural,Hulu Terengganu
rural,Tasek Gelugor
rural,Gerik
rural,Lenggong
rural,Larut
rural,Bagan Serai
rural,Bukit Gantang
rural,Padang Rengas
rural,Parit
rural,Tapah
rural,Pasir Salak
rural,Bagan Datuk
rural,Cameron Highlands
rural,Lipis
rural,Jerantut
rural,Paya Besar
rural,Pekan
rural,Maran
rural,Kuala Krau
rural,Bera
rural,Rompin
rural,Sabak Bernam
rural,Tanjong Karang
rural,Jelebu
rural,Jempol
rural,Masjid Tanah
rural,Jasin
rural,Parit Sulong
rural,Ayer Hitam
rural,Sembrong
rural,Mersing
rural,Tenggara
rural,Kota Tinggi
rural,Pengerang
rural,Pontian
rural,Kudat
rural,Kota Marudu
rural,Tuaran
rural,Kimanis
rural,Beaufort
rural,Sipitang
rural,Pensiangan
rural,Beluran
rural,Libaran
rural,Kinabatangan
rural,Santubong
rural,Petra Jaya
rural,Kota Samarahan
rural,Serian
rural,Batang Sadong
rural,Batang Lupar
rural,Betong
rural,Tanjong Manis
rural,Igan
rural,Kanowit
rural,Mukah
rural,Kapit
rural,Hulu Rajang
rural,Sibuti
rural,Baram
rural,Limbang
rural,Lawas
rural,Langkawi
rural,Jerlun
rural,Pokok Sena
rural,Kuala Kedah
rural,Nibong Tebal
rural,Balik Pulau
rural,Parit Buntar
rural,Beruas
rural,Tanjong Malim
rural,Raub
rural,Bentong
rural,Sungai Besar
rural,Hulu Selangor
rural,Kuala Selangor
rural,Tampin
rural,Alor Gajah
rural,Segamat
rural,Sekijang
rural,Labis
rural,Pagoh
rural,Sri Gading
rural,Ledang
rural,Simpang Renggam
rural,Tanjung Piai
rural,Kota Belud
rural,Sepanggar
rural,Papar
rural,Ranau
rural,Tenom
rural,Batu Sapi
rural,Silam
rural,Semporna
rural,Kalabakan
rural,Mas Gading
rural,Puncak Borneo
rural,Saratok
rural,Lanang
rural,Selangau
rural,Pendang
rural,Jerai
rural,Sik
rural,Tumpat
rural,Pasir Mas
rural,Rantau Panjang
rural,Bachok
rural,Pasir Puteh
rural,Kuala Krai
rural,Setiu
rural,Kuala Nerus
rural,Marang
rural,Keningau
rural,Batu
rural,Lubok Antu
rural,Julau
semi urban,Kepala Batas
semi urban,Kuala Kangsar
semi urban,Rembau
semi urban,Labuan
semi urban,Sri Aman
semi urban,Bintulu
semi urban,Kangar
semi urban,Kubang Pasu
semi urban,Merbok
semi urban,Sungai Petani
semi urban,Padang Serai
semi urban,Kulim-Bandar Baharu
semi urban,Permatang Pauh
semi urban,Batu Kawan
semi urban,Bukit Gelugor
semi urban,Sungai Siput
semi urban,Tambun
semi urban,Batu Gajah
semi urban,Kampar
semi urban,Gopeng
semi urban,Lumut
semi urban,Teluk Intan
semi urban,Indera Mahkota
semi urban,Temerloh
semi urban,Selayang
semi urban,Gombak
semi urban,Hulu Langat
semi urban,Kuala Langat
semi urban,Sepang
semi urban,Kuala Pilah
semi urban,Port Dickson
semi urban,Tangga Batu
semi urban,Bakri
semi urban,Muar
semi urban,Batu Pahat
semi urban,Kluang
semi urban,Tebrau
semi urban,Pasir Gudang
semi urban,Iskandar Puteri
semi urban,Kulai
semi urban,Penampang
semi urban,Putatan
semi urban,Sandakan
semi urban,Tawau
semi urban,Sarikei
semi urban,Sibu
semi urban,Miri
semi urban,Kubang Kerian
semi urban,Pengkalan Chepa
semi urban,Dungun
semi urban,Kemaman
urban,Putrajaya
urban,Alor Setar
urban,Bagan
urban,Bukit Mertajam
urban,Bukit Bendera
urban,Tanjong
urban,Jelutong
urban,Bayan Baru
urban,Taiping
urban,Ipoh Barat
urban,Ipoh Timor
urban,Kuantan
urban,Ampang
urban,Pandan
urban,Bangi
urban,Puchong
urban,Subang
urban,Petaling Jaya
urban,Damansara
urban,Sungai Buloh
urban,Shah Alam
urban,Kapar
urban,Klang
urban,Kota Raja
urban,Kepong
urban,Wangsa Maju
urban,Segambut
urban,Setiawangsa
urban,Titiwangsa
urban,Bukit Bintang
urban,Lembah Pantai
urban,Seputeh
urban,Cheras
urban,Bandar Tun Razak
urban,Seremban
urban,Rasah
urban,Hang Tuah Jaya
urban,Kota Melaka
urban,Johor Bahru
urban,Pulai
urban,Kota Kinabalu
urban,Stampin
urban,Kota Bharu
urban,Kuala Terengganu
urban,Bandar Kuching
